Name,Role,Team,,,Name,Role,Team
Ruturaj Gaikwad,Batter,CSK,,,Ruturaj Gaikwad,Batter,CSK
Ms Dhoni,WK-Batter,CSK,,,Ms Dhoni,WK-Batter,CSK
Sanju Samson,WK-Batter,CSK,,,Sanju Samson,WK-Batter,CSK
Dewald Brevis,Batter,CSK,,,Dewald Brevis,Batter,CSK
Ayush Mhatre,Batter,CSK,,,Ayush Mhatre,Batter,CSK
Kartik Sharma,WK-Batter,CSK,,,Sarfaraz Khan,Batter,CSK
Sarfaraz Khan,Batter,CSK,,,Shivam Dube,All-Rounder,CSK
Urvil Patel,WK-Batter,CSK,,,Matthew William Short,All-Rounder,CSK
Anshul Kamboj,All-Rounder,CSK,,,Jamie Overton,All-Rounder,CSK
Jamie Overton,All-Rounder,CSK,,,Anshul Kamboj,All-Rounder,CSK
Ramakrishna Ghosh,All-Rounder,CSK,,,Khaleel Ahmed,Bowler,CSK
Prashant Veer,All-Rounder,CSK,,,Noor Ahmad,Bowler,CSK
Matthew William Short,All-Rounder,CSK,,,Nathan Ellis,Bowler,CSK
Aman Khan,All-Rounder,CSK,,,Akeal Hosein,Bowler,CSK
Zak Foulkes,All-Rounder,CSK,,,Matt Henry,Bowler,CSK
Shivam Dube,All-Rounder,CSK,,,Rahul Chahar,Bowler,CSK
Khaleel Ahmed,Bowler,CSK,,,Kl Rahul,WK-Batter,DC
Noor Ahmad,Bowler,CSK,,,Karun Nair,Batter,DC
Mukesh Choudhary,Bowler,CSK,,,David Miller,Batter,DC
Nathan Ellis,Bowler,CSK,,,Ben Duckett,WK-Batter,DC
Shreyas Gopal,Bowler,CSK,,,Pathum Nissanka,Batter,DC
Gurjapneet Singh,Bowler,CSK,,,Prithvi Shaw,Batter,DC
Akeal Hosein,Bowler,CSK,,,Tristan Stubbs,WK-Batter,DC
Matt Henry,Bowler,CSK,,,Axar Patel,All-Rounder,DC
Rahul Chahar,Bowler,CSK,,,Ashutosh Sharma,All-Rounder,DC
Kl Rahul,WK-Batter,DC,,,Nitish Rana,All-Rounder,DC
Karun Nair,Batter,DC,,,Sameer Rizvi,All-Rounder,DC
David Miller,Batter,DC,,,Mitchell Starc,Bowler,DC
Ben Duckett,WK-Batter,DC,,,T. Natarajan,Bowler,DC
Pathum Nissanka,Batter,DC,,,Mukesh Kumar,Bowler,DC
Sahil Parakh,Batter,DC,,,Kuldeep Yadav,Bowler,DC
Prithvi Shaw,Batter,DC,,,Lungisani Ngidi,Bowler,DC
Abishek Porel,WK-Batter,DC,,,Shubman Gill,Batter,GT
Tristan Stubbs,WK-Batter,DC,,,Jos Buttler,WK-Batter,GT
Axar Patel,All-Rounder,DC,,,Kumar Kushagra,WK-Batter,GT
Sameer Rizvi,All-Rounder,DC,,,Glenn Phillips,Batter,GT
Ashutosh Sharma,All-Rounder,DC,,,Washington Sundar,All-Rounder,GT
Vipraj Nigam,All-Rounder,DC,,,Nishant Sindhu,All-Rounder,GT
Ajay Mandal,All-Rounder,DC,,,Sai Kishore,All-Rounder,GT
Tripurana Vijay,All-Rounder,DC,,,Jason Holder,All-Rounder,GT
Madhav Tiwari,All-Rounder,DC,,,Sai Sudharsan,All-Rounder,GT
Auqib Dar,All-Rounder,DC,,,Shahrukh Khan,All-Rounder,GT
Nitish Rana,All-Rounder,DC,,,Kagiso Rabada,Bowler,GT
Mitchell Starc,Bowler,DC,,,Mohammed Siraj,Bowler,GT
T. Natarajan,Bowler,DC,,,Prasidh Krishna,Bowler,GT
Mukesh Kumar,Bowler,DC,,,Rashid Khan,Bowler,GT
Dushmantha Chameera,Bowler,DC,,,Manav Suthar,Bowler,GT
Lungisani Ngidi,Bowler,DC,,,Rahul Tewatia,Bowler,GT
Kyle Jamieson,Bowler,DC,,,Ajinkya Rahane,Batter,KKR
Kuldeep Yadav,Bowler,DC,,,Rinku Singh,Batter,KKR
Shubman Gill,Batter,GT,,,Manish Pandey,Batter,KKR
Jos Buttler,WK-Batter,GT,,,Cameron Green,Batter,KKR
Kumar Kushagra,WK-Batter,GT,,,Finn Allen,WK-Batter,KKR
Anuj Rawat,WK-Batter,GT,,,Rahul Tripathi,Batter,KKR
Tom Banton,WK-Batter,GT,,,Rovman Powell,Batter,KKR
Glenn Phillips,Batter,GT,,,Anukul Roy,All-Rounder,KKR
Nishant Sindhu,All-Rounder,GT,,,Rachin Ravindra,All-Rounder,KKR
Washington Sundar,All-Rounder,GT,,,Ramandeep Singh,All-Rounder,KKR
Mohd. Arshad Khan,All-Rounder,GT,,,Vaibhav Arora,Bowler,KKR
Sai Kishore,All-Rounder,GT,,,Matheesha Pathirana,Bowler,KKR
Jayant Yadav,All-Rounder,GT,,,Akash Deep,Bowler,KKR
Jason Holder,All-Rounder,GT,,,Harshit Rana,Bowler,KKR
Sai Sudharsan,All-Rounder,GT,,,Sunil Narine,Bowler,KKR
Shahrukh Khan,All-Rounder,GT,,,Varun Chakaravarthy,Bowler,KKR
Kagiso Rabada,Bowler,GT,,,Rishabh Pant,WK-Batter,LSG
Mohammed Siraj,Bowler,GT,,,Aiden Markram,Batter,LSG
Prasidh Krishna,Bowler,GT,,,Josh Inglis,WK-Batter,LSG
Manav Suthar,Bowler,GT,,,Nicholas Pooran,WK-Batter,LSG
Gurnoor Singh Brar,Bowler,GT,,,Mitchell Marsh,All-Rounder,LSG
Ishant Sharma,Bowler,GT,,,Abdul Samad,All-Rounder,LSG
Ashok Sharma,Bowler,GT,,,Shahbaz Ahamad,All-Rounder,LSG
Prithvi Raj Yarra,Bowler,GT,,,Arshin Kulkarni,All-Rounder,LSG
Luke Wood,Bowler,GT,,,Wanindu Hasaranga,All-Rounder,LSG
Rahul Tewatia,Bowler,GT,,,Ayush Badoni,All-Rounder,LSG
Rashid Khan,Bowler,GT,,,Mohammad Shami,Bowler,LSG
Ajinkya Rahane,Batter,KKR,,,Avesh Khan,Bowler,LSG
Rinku Singh,Batter,KKR,,,M. Siddharth,Bowler,LSG
Angkrish Raghuvanshi,Batter,KKR,,,Anrich Nortje,Bowler,LSG
Manish Pandey,Batter,KKR,,,Mayank Yadav,Bowler,LSG
Cameron Green,Batter,KKR,,,Mohsin Khan,Bowler,LSG
Finn Allen,WK-Batter,KKR,,,Rohit Sharma,Batter,MI
Tejasvi Singh,WK-Batter,KKR,,,Surya Kumar Yadav,Batter,MI
Rahul Tripathi,Batter,KKR,,,Robin Minz,WK-Batter,MI
Tim Seifert,WK-Batter,KKR,,,Ryan Rickelton,WK-Batter,MI
Rovman Powell,Batter,KKR,,,Quinton De Kock,WK-Batter,MI
Anukul Roy,All-Rounder,KKR,,,N. Tilak Varma,Batter,MI
Sarthak Ranjan,All-Rounder,KKR,,,Hardik Pandya,All-Rounder,MI
Daksh Kamra,All-Rounder,KKR,,,Naman Dhir,All-Rounder,MI
Rachin Ravindra,All-Rounder,KKR,,,Mitchell Santner,All-Rounder,MI
Ramandeep Singh,All-Rounder,KKR,,,Will Jacks,All-Rounder,MI
Vaibhav Arora,Bowler,KKR,,,Shardul Thakur,All-Rounder,MI
Matheesha Pathirana,Bowler,KKR,,,Corbin Bosch,All-Rounder,MI
Kartik Tyagi,Bowler,KKR,,,Trent Boult,Bowler,MI
Prashant Solanki,Bowler,KKR,,,Deepak Chahar,Bowler,MI
Akash Deep,Bowler,KKR,,,Allah Ghazanfar,Bowler,MI
Harshit Rana,Bowler,KKR,,,Jasprit Bumrah,Bowler,MI
Umran Malik,Bowler,KKR,,,Shreyas Iyer,Batter,PBKS
Sunil Narine,Bowler,KKR,,,Nehal Wadhera,Batter,PBKS
Varun Chakaravarthy,Bowler,KKR,,,Prabhsimran Singh,WK-Batter,PBKS
Rishabh Pant,WK-Batter,LSG,,,Shashank Singh,Batter,PBKS
Aiden Markram,Batter,LSG,,,Marcus Stoinis,All-Rounder,PBKS
Himmat Singh,Batter,LSG,,,Harpreet Brar,All-Rounder,PBKS
Matthew Breetzke,Batter,LSG,,,Marco Jansen,All-Rounder,PBKS
Mukul Choudhary,WK-Batter,LSG,,,Azmatullah Omarzai,All-Rounder,PBKS
Akshat Raghuwanshi,Batter,LSG,,,Musheer Khan,All-Rounder,PBKS
Josh Inglis,WK-Batter,LSG,,,Suryansh Shedge,All-Rounder,PBKS
Nicholas Pooran,WK-Batter,LSG,,,Mitch Owen,Batter,PBKS
Mitchell Marsh,All-Rounder,LSG,,,Arshdeep Singh,Bowler,PBKS
Abdul Samad,All-Rounder,LSG,,,Yuzvendra Chahal,Bowler,PBKS
Shahbaz Ahamad,All-Rounder,LSG,,,Yash Thakur,Bowler,PBKS
Arshin Kulkarni,All-Rounder,LSG,,,Xavier Bartlett,Bowler,PBKS
Wanindu Hasaranga,All-Rounder,LSG,,,Lockie Ferguson,Bowler,PBKS
Ayush Badoni,All-Rounder,LSG,,,Riyan Parag,Batter,RR
Mohammad Shami,Bowler,LSG,,,Vaibhav Suryavanshi,Batter,RR
Avesh Khan,Bowler,LSG,,,Shimron Hetmyer,Batter,RR
M. Siddharth,Bowler,LSG,,,Lhuan-Dre Pretorius,Batter,RR
Digvesh Singh,Bowler,LSG,,,Yashasvi Jaiswal,Batter,RR
Akash Singh,Bowler,LSG,,,Dhruv Jurel,WK-Batter,RR
Prince Yadav,Bowler,LSG,,,Shubham Dubey,Batter,RR
Arjun Tendulkar,Bowler,LSG,,,Ravindra Jadeja,All-Rounder,RR
Anrich Nortje,Bowler,LSG,,,Sam Curran,All-Rounder,RR
Naman Tiwari,Bowler,LSG,,,Jofra Archer,Bowler,RR
Mayank Yadav,Bowler,LSG,,,Tushar Deshpande,Bowler,RR
Mohsin Khan,Bowler,LSG,,,Kwena Maphaka,Bowler,RR
Rohit Sharma,Batter,MI,,,Ravi Bishnoi,Bowler,RR
Surya Kumar Yadav,Batter,MI,,,Kuldeep Sen,Bowler,RR
Robin Minz,WK-Batter,MI,,,Sandeep Sharma,Bowler,RR
Sherfane Rutherford,Batter,MI,,,Nandre Burger,Bowler,RR
Ryan Rickelton,WK-Batter,MI,,,Rajat Patidar,Batter,RCB
Quinton De Kock,WK-Batter,MI,,,Devdutt Padikkal,Batter,RCB
Danish Malewar,Batter,MI,,,Virat Kohli,Batter,RCB
N. Tilak Varma,Batter,MI,,,Phil Salt,WK-Batter,RCB
Hardik Pandya,All-Rounder,MI,,,Jitesh Sharma,WK-Batter,RCB
